dev,iast,roman,count,top_sources,gotra_context
नारायण निरसूका पाली,nārāyṇ nirsūkā pālī,narayn nirsuka pali,2,Vol-3Final03-d(1).doc,
नारायण पबौली,nārāyṇ pbaulī,narayn pbauli,2,Final_348-690.doc,
नारायण बसुआड़ी वलियास,nārāyṇ bsuāḍ़ī vliyās,narayn bsuad i vliyas,2,Final_348-690.doc,
नारायण बुधवाल,nārāyṇ budhvāl,narayn budhval,2,Final_348-690.doc,
नारायण माण्डर,nārāyṇ māṇḍr,narayn mandr,2,Final_66-347.doc,
नारायण मोदनाथाः दरिहरा,nārāyṇ modnāthāḥ drihrā,narayn modnathah drihra,2,punji-04-Diwali2014.doc,Śāṇḍilya
नारायण रघुनाथाः दिघोय,nārāyṇ rghunāthāḥ dighoy,narayn rghunathah dighoy,2,punji-07-Diwali2014.doc,Vatsa
नारायण वलियास,nārāyṇ vliyās,narayn vliyas,2,Vol-3Final03-a(1).doc,
नारायण विद्यानाराणो सोदरपुर,nārāyṇ vidyānārāṇo sodrpur,narayn vidyanarano sodrpur,2,punji-03-Diwali2014.doc,
नारायण विशोकाः बेलउँच,nārāyṇ viśokāḥ belum̐c,narayn visokah belumc,2,punji-04-Diwali2014.doc,Vatsa
नारायण वुधवाल,nārāyṇ vudhvāl,narayn vudhval,2,Vol-3Final03-d(1).doc,
नारायण शिवौ वलियास,nārāyṇ śivau vliyās,narayn sivau vliyas,2,Final_1-65.doc,Vatsa
नारायण श्यामौ बलियास,nārāyṇ śyāmau bliyās,narayn syamau bliyas,2,punji-03-Diwali2014.doc,
नारायण सर्वनारायणौ जजिवाल,nārāyṇ srvnārāyṇau jjivāl,narayn srvnaraynau jjival,2,punji-08-Diwali2014.doc,Kapila
नारायण सहदेवौ नरउन,nārāyṇ shdevau nrun,narayn shdevau nrun,2,Final_348-690.doc,
नारायण सिंहो पण्डुआ,nārāyṇ siṃho pṇḍuā,narayn simho pndua,2,Final_348-690.doc,
नारायण सुखेत सकराढी,nārāyṇ sukhet skrāḍhī,narayn sukhet skradhi,2,punji-05-Diwali2014.doc,
नारायण हेमनाथा सरिसब,nārāyṇ hemnāthā srisb,narayn hemnatha srisb,2,Vol-3Final03-d(1).doc,
नारायणः ओडा एकहरा,nārāyṇḥ oḍā ekhrā,naraynh oda ekhra,2,punji-01-Diwali2014.doc,
नारायणः जगति,nārāyṇḥ jgti,naraynh jgti,2,punji-08-Diwali2014.doc,
नारायणः जालय,nārāyṇḥ jāly,naraynh jaly,2,punji-02-Diwali2014.doc,
नारायणः दरिहरा,nārāyṇḥ drihrā,naraynh drihra,2,punji-02-Diwali2014.doc,
नारायणः परहट बहेराढी,nārāyṇḥ prhṭ bherāḍhī,naraynh prht bheradhi,2,punji-04-Diwali2014.doc,Vatsa
नारायणः सकराढी,nārāyṇḥ skrāḍhī,naraynh skradhi,2,punji-03-Diwali2014.doc,
नारायणः सिंहोलिया माण्डर,nārāyṇḥ siṃholiyā māṇḍr,naraynh simholiya mandr,2,punji-02-Diwali2014.doc,
नारायणदत्त करमहा,nārāyṇdtt krmhā,narayndtt krmha,2,Vol-3Final03-a(1).doc,
नारायणदत्त दौ कटाई,nārāyṇdtt dau kṭāī,narayndtt dau ktai,2,punji-02-Diwali2014.doc,
नारायणदत्त दौ नरउन,nārāyṇdtt dau nrun,narayndtt dau nrun,2,Vol-3Final03-a(1).doc,
नारायणदत्त दौ बूधवाल,nārāyṇdtt dau būdhvāl,narayndtt dau budhval,2,Vol-3Final03-a(1).doc,
नारायणदत्त दौ बेलउंच,nārāyṇdtt dau beluṃc,narayndtt dau belumc,2,punji-03-Diwali2014.doc,
नारायणदत्त पखियानाथा वलियास,nārāyṇdtt pkhiyānāthā vliyās,narayndtt pkhiyanatha vliyas,2,Vol-3Final03-a(1).doc,
नारायणदत्त पबौली,nārāyṇdtt pbaulī,narayndtt pbauli,2,Final_348-690.doc,
नारायणदत्त बेला सकराढी,nārāyṇdtt belā skrāḍhī,narayndtt bela skradhi,2,punji-05-Diwali2014.doc,
नारायणदत्त वलियास,nārāyṇdtt vliyās,narayndtt vliyas,2,Final_348-690.doc,
नारायणदत्त शंकरदत्तो पनिचोभ,nārāyṇdtt śṃkrdtto pnicobh,narayndtt smkrdtto pnicobh,2,Final_348-690.doc,
नारायणदत्त सरिसब,nārāyṇdtt srisb,narayndtt srisb,2,Vol-3Final03-a(1).doc,
नारायणदत्त सोदरपुर,nārāyṇdtt sodrpur,narayndtt sodrpur,2,Vol-3Final03-d(1).doc,
नारायणदत्तः करमहा,nārāyṇdttḥ krmhā,narayndtth krmha,2,punji-06-Diwali2014.doc,Śāṇḍilya
नारायणदत्तः कवै सकराढी,nārāyṇdttḥ kvai skrāḍhī,narayndtth kvai skradhi,2,punji-07-Diwali2014.doc,Kṛṣṇātreya
नारायणदत्तः दरिहरा,nārāyṇdttḥ drihrā,narayndtth drihra,2,punji-07-Diwali2014.doc,Kapila
नारायणदत्तः नडुआर करमहा,nārāyṇdttḥ nḍuār krmhā,narayndtth nduar krmha,2,punji-05-Diwali2014.doc,
नारायणदत्ता नान्यपुर विस्फी,nārāyṇdttā nānypur visphī,narayndtta nanypur visphi,2,punji-07-Diwali2014.doc,Kapila
नारायणदत्ता सरिसब,nārāyṇdttā srisb,narayndtta srisb,2,Final_66-347.doc,
नारायणदत्ताः तरौनी करमहा,nārāyṇdttāḥ traunī krmhā,narayndttah trauni krmha,2,punji-02-Diwali2014.doc,
नारायणदत्ताः मलंगिया कुजौली,nārāyṇdttāḥ mlṃgiyā kujaulī,narayndttah mlmgiya kujauli,2,punji-03-Diwali2014.doc,
नारायणपट्टी,nārāyṇpṭṭī,naraynptti,2,punji-05-Diwali2014.doc,
नारायणपट्टी फूलदाहा पाली,nārāyṇpṭṭī phūldāhā pālī,naraynptti phuldaha pali,2,punji-03-Diwali2014.doc,
नारायणपुर बोधराम बुधवाल,nārāyṇpur bodhrām budhvāl,naraynpur bodhram budhval,2,punji-03-Diwali2014.doc,
नारायणपुर वासी खण्डवला,nārāyṇpur vāsī khṇḍvlā,naraynpur vasi khndvla,2,punji-05-Diwali2014.doc,
नारायणपुरवासी मझियाम करमहा,nārāyṇpurvāsī mjhiyām krmhā,naraynpurvasi mjhiyam krmha,2,punji-04-Diwali2014.doc,Vatsa
नारायणा दिगउन्ध सोदरपुर,nārāyṇā digundh sodrpur,narayna digundh sodrpur,2,Final_66-347.doc,
नारायणाः पण्डोली दरिहरा,nārāyṇāḥ pṇḍolī drihrā,naraynah pndoli drihra,2,punji-02-Diwali2014.doc,
नारायणाः बडद्धगांव दरिहरा,nārāyṇāḥ bḍddhgāṃv drihrā,naraynah bdddhgamv drihra,2,punji-04-Diwali2014.doc,Vatsa
नारायणाः माण्डर,nārāyṇāḥ māṇḍr,naraynah mandr,2,punji-06-Diwali2014.doc,
नारायणाः रजौरा माण्डर,nārāyṇāḥ rjaurā māṇḍr,naraynah rjaura mandr,2,punji-04-Diwali2014.doc,Vatsa
नारायणाः सन्दहपुर दिघोय,nārāyṇāḥ sndhpur dighoy,naraynah sndhpur dighoy,2,punji-08-Diwali2014.doc,Kapila
नारायणी सिंहौली माण्डर,nārāyṇī siṃhaulī māṇḍr,narayni simhauli mandr,2,punji-07-Diwali2014.doc,Kāśyapa
नारायणो पटनीवासी निखूति,nārāyṇo pṭnīvāsī nikhūti,narayno ptnivasi nikhuti,2,punji-05-Diwali2014.doc,
नारायणो समौली पाली,nārāyṇo smaulī pālī,narayno smauli pali,2,punji-04-Diwali2014.doc,Vatsa
नारायणौ दुखनौरी सकराढी,nārāyṇau dukhnaurī skrāḍhī,naraynau dukhnauri skradhi,2,punji-02-Diwali2014.doc,Śāṇḍilya
नारायणौ बद्रीनारायणनो करमहा,nārāyṇau bdrīnārāyṇno krmhā,naraynau bdrinaraynno krmha,2,Final_348-690.doc,
नारायणौ बलियास,nārāyṇau bliyās,naraynau bliyas,2,punji-05-Diwali2014.doc,
नारू बरूआरी,nārū brūārī,naru bruari,2,Final_1-65.doc,Vatsa
नारू बेलउँच,nārū belum̐c,naru belumc,2,Final_1-65.doc,Vatsa
नारूकः घुसौत,nārūkḥ ghusaut,narukh ghusaut,2,punji-02-Diwali2014.doc,
नारूकः घोसोत,nārūkḥ ghosot,narukh ghosot,2,punji-04-Diwali2014.doc,
नारो देवकीकौ पाली,nāro devkīkau pālī,naro devkikau pali,2,punji-02-Diwali2014.doc,
नारो फनन्दह,nāro phnndh,naro phnndh,2,Final_348-690.doc,
नाहर दिगउन्ध सोदरपुर,nāhr digundh sodrpur,nahr digundh sodrpur,2,punji-03-Diwali2014.doc,
नाहर नरशाम वलियास,nāhr nrśām vliyās,nahr nrsam vliyas,2,punji-02-Diwali2014.doc,
नाहरवासी अनलपुर करमहा,nāhrvāsī anlpur krmhā,nahrvasi anlpur krmha,2,punji-04-Diwali2014.doc,Vatsa
नाहरवासी खांगुड सरिसव,nāhrvāsī khāṃguḍ srisv,nahrvasi khamgud srisv,2,punji-04-Diwali2014.doc,Vatsa
नाहरवासी परहट सकराढी,nāhrvāsī prhṭ skrāḍhī,nahrvasi prht skradhi,2,punji-04-Diwali2014.doc,
नाहस खोआल,nāhs khoāl,nahs khoal,2,Final_348-690.doc,
नाहस खौखाल,nāhs khaukhāl,nahs khaukhal,2,Final_348-690.doc,
नाहस रवोआल,nāhs rvoāl,nahs rvoal,2,Vol-3Final03-a(1).doc,
नाहस रवौआ,nāhs rvauā,nahs rvaua,2,Vol-3Final03-e(1).doc,
नाहस सँ खौआल,nāhs sm̐ khauāl,nahs sm khaual,2,Vol-3Final03-e(1).doc,
नाहसँ खौआल,nāhsm̐ khauāl,nahsm khaual,2,Final_348-690.doc,
नाहसरूपाली दूमरा वुधवाल,nāhsrūpālī dūmrā vudhvāl,nahsrupali dumra vudhval,2,Vol-3Final03-a(1).doc,
नि घुसौत,ni ghusaut,ni ghusaut,2,Vol-3Final03-e(1).doc,
निकाई रकाईकौ दरिहरा,nikāī rkāīkau drihrā,nikai rkaikau drihra,2,punji-05-Diwali2014.doc,
निकुति,nikuti,nikuti,2,Vol-3Final03-e(1).doc,
निखरैल वासी एकहरा,nikhrail vāsī ekhrā,nikhrail vasi ekhra,2,punji-08-Diwali2014.doc,Kapila
निखरैलवासी हाटी पाली,nikhrailvāsī hāṭī pālī,nikhrailvasi hati pali,2,punji-02-Diwali2014.doc,
निखुति,nikhuti,nikhuti,2,punji-02-Diwali2014.doc,
निताई करमहा,nitāī krmhā,nitai krmha,2,Final_348-690.doc,
निताई बछरूका सकराढी,nitāī bchrūkā skrāḍhī,nitai bchruka skradhi,2,punji-04-Diwali2014.doc,
निताईक अलय,nitāīk aly,nitaik aly,2,Final_348-690.doc,
नितिकर पाँखूका दरिहरा,nitikr pām̐khūkā drihrā,nitikr pamkhuka drihra,2,Final_348-690.doc,
नितिकरः जालय,nitikrḥ jāly,nitikrh jaly,2,punji-08-Diwali2014.doc,Kapila
नितूकः बुधवाल,nitūkḥ budhvāl,nitukh budhval,2,punji-02-Diwali2014.doc,
नितेशः बेलेवासी पण्डोली,niteśḥ belevāsī pṇḍolī,nitesh belevasi pndoli,2,punji-04-Diwali2014.doc,Vatsa
नित्यनाथ दौ,nitynāth dau,nitynath dau,2,Final_348-690.doc,
नित्यनाथ रमानाथौ माण्डर,nitynāth rmānāthau māṇḍr,nitynath rmanathau mandr,2,Final_348-690.doc,
नित्यपति सिंह,nitypti siṃh,nitypti simh,2,Final_348-690.doc,
नित्यमाया ओडा एकहरा,nitymāyā oḍā ekhrā,nitymaya oda ekhra,2,punji-06-Diwali2014.doc,
नित्यमाया गाउल करमहा,nitymāyā gāul krmhā,nitymaya gaul krmha,2,punji-02-Diwali2014.doc,
नित्यमाया झौवा पनिचोभ,nitymāyā jhauvā pnicobh,nitymaya jhauva pnicobh,2,punji-02-Diwali2014.doc,
नित्यमाया ततैल सकराढी,nitymāyā ttail skrāḍhī,nitymaya ttail skradhi,2,punji-07-Diwali2014.doc,Kapila
नित्यमाया माण्डर,nitymāyā māṇḍr,nitymaya mandr,2,punji-04-Diwali2014.doc,Śāṇḍilya
नित्यमाया रतौली दरिहरा,nitymāyā rtaulī drihrā,nitymaya rtauli drihra,2,punji-03-Diwali2014.doc,
नित्यमाया सिंहौली माण्डर,nitymāyā siṃhaulī māṇḍr,nitymaya simhauli mandr,2,punji-04-Diwali2014.doc,Vatsa
नित्यलालाः जोफरा फनन्दह,nitylālāḥ jophrā phnndh,nitylalah jophra phnndh,2,punji-03-Diwali2014.doc,
नित्यवती लगमा जालय,nityvtī lgmā jāly,nityvti lgma jaly,2,punji-05-Diwali2014.doc,
नित्यानन्द,nityānnd,nityannd,2,punji-04-Diwali2014.doc,Vatsa
नित्यानन्द एकहरा,nityānnd ekhrā,nityannd ekhra,2,punji-06-Diwali2014.doc,Śāṇḍilya
नित्यानन्द ओडा एकहरा,nityānnd oḍā ekhrā,nityannd oda ekhra,2,punji-02-Diwali2014.doc,
नित्यानन्द करमहा,nityānnd krmhā,nityannd krmha,2,Final_348-690.doc,
नित्यानन्द दरिहरा,nityānnd drihrā,nityannd drihra,2,punji-03-Diwali2014.doc,
नित्यानन्द देवानन्दाः पनिचोभ,nityānnd devānndāḥ pnicobh,nityannd devanndah pnicobh,2,punji-04-Diwali2014.doc,Vatsa
नित्यानन्द दौ कटाई,nityānnd dau kṭāī,nityannd dau ktai,2,punji-07-Diwali2014.doc,Kapila
नित्यानन्द दौ पाली,nityānnd dau pālī,nityannd dau pali,2,Final_348-690.doc,
नित्यानन्द पाली,nityānnd pālī,nityannd pali,2,Final_348-690.doc,
नित्यानन्द बलिया,nityānnd bliyā,nityannd bliya,2,Final_66-347.doc,
नित्यानन्द रघुनाथौ पाली,nityānnd rghunāthau pālī,nityannd rghunathau pali,2,Final_348-690.doc,
नित्यानन्द विद्यानन्दो सरिसब,nityānnd vidyānndo srisb,nityannd vidyanndo srisb,2,Final_348-690.doc,
नित्यानन्दः गंगोर,nityānndḥ gṃgor,nityanndh gmgor,2,punji-04-Diwali2014.doc,
नित्यानन्दः गोविन्दपुर,nityānndḥ govindpur,nityanndh govindpur,2,punji-05-Diwali2014.doc,
नित्यानन्दः तेघरा नरउन,nityānndḥ teghrā nrun,nityanndh teghra nrun,2,punji-03-Diwali2014.doc,
नित्यानन्दः भडगाम जजिवाल,nityānndḥ bhḍgām jjivāl,nityanndh bhdgam jjival,2,punji-02-Diwali2014.doc,Śāṇḍilya
नित्यानन्दः मराढ,nityānndḥ mrāḍh,nityanndh mradh,2,punji-08-Diwali2014.doc,Kapila
नित्यानन्दः सतलखा,nityānndḥ stlkhā,nityanndh stlkha,2,punji-06-Diwali2014.doc,Kauśika
नित्यानन्दः हाटी सोदरपुर,nityānndḥ hāṭī sodrpur,nityanndh hati sodrpur,2,punji-05-Diwali2014.doc,
नित्यानन्दा डुमरावासी गंगोली,nityānndā ḍumrāvāsī gṃgolī,nityannda dumravasi gmgoli,2,punji-05-Diwali2014.doc,
नित्यानन्दा लोआम सुरगन,nityānndā loām surgn,nityannda loam surgn,2,punji-07-Diwali2014.doc,Kapila
नित्यानन्दाः कोकीलबाड दिधो,nityānndāḥ kokīlbāḍ didho,nityanndah kokilbad didho,2,punji-03-Diwali2014.doc,
नित्यानन्दाः सन्दहपुर दिघो,nityānndāḥ sndhpur digho,nityanndah sndhpur digho,2,punji-03-Diwali2014.doc,
नित्यानन्दो कुरूमवासी देवहार,nityānndo kurūmvāsī devhār,nityanndo kurumvasi devhar,2,punji-04-Diwali2014.doc,
नित्यानन्दो गौर सोदरपुर,nityānndo gaur sodrpur,nityanndo gaur sodrpur,2,punji-02-Diwali2014.doc,
नित्यानन्दो बभनियाम,nityānndo bbhniyām,nityanndo bbhniyam,2,Final_66-347.doc,
नित्यानन्दो समौलि पाली,nityānndo smauli pālī,nityanndo smauli pali,2,Final_348-690.doc,
निदेशक नमोनाथो घुसौत,nideśk nmonātho ghusaut,nidesk nmonatho ghusaut,2,Vol-3Final03-a(1).doc,
निधकाः लगमा जालय,nidhkāḥ lgmā jāly,nidhkah lgma jaly,2,punji-02-Diwali2014.doc,
निधि कमलपाणि माण्डर,nidhi kmlpāṇi māṇḍr,nidhi kmlpani mandr,2,punji-05-Diwali2014.doc,
निधि दुर्गादत्ता बुधवाल,nidhi durgādttā budhvāl,nidhi durgadtta budhval,2,Final_348-690.doc,
निधि दौ कटाई,nidhi dau kṭāī,nidhi dau ktai,2,punji-08-Diwali2014.doc,Kapila
निधि दौ पवौली,nidhi dau pvaulī,nidhi dau pvauli,2,Final_348-690.doc,
निधि दौ वलियास,nidhi dau vliyās,nidhi dau vliyas,2,Vol-3Final03-e(1).doc,
निधि धैर्यीका कटाई,nidhi dhairyīkā kṭāī,nidhi dhairyika ktai,2,punji-06-Diwali2014.doc,Śāṇḍilya
निधि नाथौ पाली,nidhi nāthau pālī,nidhi nathau pali,2,Final_348-690.doc,
निधि पाली,nidhi pālī,nidhi pali,2,Vol-3Final03-a(1).doc,
निधि शम्भुकाः दरिहरा,nidhi śmbhukāḥ drihrā,nidhi smbhukah drihra,2,punji-05-Diwali2014.doc,
निधि हिरानन्दो गंगोली,nidhi hirānndo gṃgolī,nidhi hiranndo gmgoli,2,Final_348-690.doc,
निधिकः दीप बहेराढी,nidhikḥ dīp bherāḍhī,nidhikh dip bheradhi,2,punji-03-Diwali2014.doc,
निधिकः नान्यपुर अलय,nidhikḥ nānypur aly,nidhikh nanypur aly,2,punji-02-Diwali2014.doc,
निधिनाथ दौ सोदरपुर,nidhināth dau sodrpur,nidhinath dau sodrpur,2,Vol-3Final03-e(1).doc,
निधिनाथ प्रीतिनाथा बहेराढ़ी,nidhināth prītināthā bherāḍh़ī,nidhinath pritinatha bheradh i,2,Final_348-690.doc,
निधिनाथ प्रीतिनाथाः बहेराढी,nidhināth prītināthāḥ bherāḍhī,nidhinath pritinathah bheradhi,2,punji-05-Diwali2014.doc,
निधिनाथ सतलखा,nidhināth stlkhā,nidhinath stlkha,2,Vol-3Final03-e(1).doc,
निधिनाथः नरउन,nidhināthḥ nrun,nidhinathh nrun,2,punji-05-Diwali2014.doc,
निधिपाणि करमहा,nidhipāṇi krmhā,nidhipani krmha,2,Vol-3Final03-d(1).doc,
निप्रय,nipry,nipry,2,Final_66-347.doc,
निफिकिरा रहुवावासी,niphikirā rhuvāvāsī,niphikira rhuvavasi,2,punji-04-Diwali2014.doc,Vatsa
नियाम,niyām,niyam,2,Vol-3Final03-e(1).doc,
निरंजन रौतारावासी निखूति,nirṃjn rautārāvāsī nikhūti,nirmjn rautaravasi nikhuti,2,punji-04-Diwali2014.doc,Vatsa
निरखूति,nirkhūti,nirkhuti,2,Final_66-347.doc,
निरपति,nirpti,nirpti,2,Final_348-690.doc,
निरलू दौ सतलखा,nirlū dau stlkhā,nirlu dau stlkha,2,Vol-3Final03-a(1).doc,
निरसन बभनियाम,nirsn bbhniyām,nirsn bbhniyam,2,Vol-3Final03-d(1).doc,
निरसन शंकर सरिसब,nirsn śṃkr srisb,nirsn smkr srisb,2,Vol-3Final03-d(1).doc,
निरसू दौ दहिभत,nirsū dau dhibht,nirsu dau dhibht,2,punji-07-Diwali2014.doc,Vatsa
निरसू श्रीदेवा पाली,nirsū śrīdevā pālī,nirsu srideva pali,2,Vol-3Final03-d(1).doc,
निरानन्द प्रेमानन्दो दरिहरा,nirānnd premānndo drihrā,nirannd premanndo drihra,2,punji-03-Diwali2014.doc,
निरानन्दाः खांगुड सरिसव,nirānndāḥ khāṃguḍ srisv,niranndah khamgud srisv,2,punji-07-Diwali2014.doc,Kapila
निरूपमा देवहार,nirūpmā devhār,nirupma devhar,2,punji-02-Diwali2014.doc,
निर्जला ओडा एकहरा,nirjlā oḍā ekhrā,nirjla oda ekhra,2,punji-06-Diwali2014.doc,Śāṇḍilya
निर्तलाल दौ जजिवाल,nirtlāl dau jjivāl,nirtlal dau jjival,2,punji-03-Diwali2014.doc,
निर्तलालः अहपुर करमहा,nirtlālḥ ahpur krmhā,nirtlalh ahpur krmha,2,punji-05-Diwali2014.doc,
निर्भय नारायणो दरिहरा,nirbhy nārāyṇo drihrā,nirbhy narayno drihra,2,punji-03-Diwali2014.doc,
निर्मल नरेशाः दरिहरा,nirml nreśāḥ drihrā,nirml nresah drihra,2,punji-03-Diwali2014.doc,
निर्मला काझी,nirmlā kājhī,nirmla kajhi,2,punji-07-Diwali2014.doc,Kapila
निर्मला गुलदी खण्डवला,nirmlā guldī khṇḍvlā,nirmla guldi khndvla,2,punji-05-Diwali2014.doc,
निर्मला नेयाम कुजौली,nirmlā neyām kujaulī,nirmla neyam kujauli,2,punji-06-Diwali2014.doc,Śāṇḍilya
निर्मला सकमा अलय,nirmlā skmā aly,nirmla skma aly,2,punji-02-Diwali2014.doc,
निर्मली ततैल सकराढी,nirmlī ttail skrāḍhī,nirmli ttail skradhi,2,punji-07-Diwali2014.doc,Kapila
निर्मलीवासी ततैल सकराढी,nirmlīvāsī ttail skrāḍhī,nirmlivasi ttail skradhi,2,punji-04-Diwali2014.doc,Vatsa
निलाम्बरा सिमरवाड खौआल,nilāmbrā simrvāḍ khauāl,nilambra simrvad khaual,2,punji-02-Diwali2014.doc,
निलाम्बराः सुदे बेलउंच,nilāmbrāḥ sude beluṃc,nilambrah sude belumc,2,punji-02-Diwali2014.doc,
निलाम्बरो सरिसव सोदरपुर,nilāmbro srisv sodrpur,nilambro srisv sodrpur,2,punji-03-Diwali2014.doc,
निवास दरिहरा,nivās drihrā,nivas drihra,2,Final_66-347.doc,
निशिकान्त उपेन्द्रमोहनौ माण्डर,niśikānt upendrmohnau māṇḍr,nisikant upendrmohnau mandr,2,punji-04-Diwali2014.doc,Vatsa
निशिकान्तः गुलदी खण्डवला,niśikāntḥ guldī khṇḍvlā,nisikanth guldi khndvla,2,punji-04-Diwali2014.doc,Vatsa
निशिकान्ताः,niśikāntāḥ,nisikantah,2,punji-05-Diwali2014.doc,
निशीकान्तौ समौली पाली,niśīkāntau smaulī pālī,nisikantau smauli pali,2,punji-07-Diwali2014.doc,Kapila
निसउँत,nisum̐t,nisumt,2,Final_66-347.doc,
नी दौ करमहा,nī dau krmhā,ni dau krmha,2,Vol-3Final03-c(1).doc,
नी सोदरपुर,nī sodrpur,ni sodrpur,2,Vol-3Final03-a(1).doc,
नीकार बेलउँच,nīkār belum̐c,nikar belumc,2,Final_348-690.doc,
नीकें परसण्डा,nīkeṃ prsṇḍā,nikem prsnda,2,punji-02-Diwali2014.doc,
नीताई पाली,nītāī pālī,nitai pali,2,Final_348-690.doc,
नीतू गढ खण्डबला,nītū gḍh khṇḍblā,nitu gdh khndbla,2,punji-02-Diwali2014.doc,
नीतूकः करमहा,nītūkḥ krmhā,nitukh krmha,2,punji-04-Diwali2014.doc,
नीधि दौ सरिसव,nīdhi dau srisv,nidhi dau srisv,2,punji-02-Diwali2014.doc,
नीना कटरिया,nīnā kṭriyā,nina ktriya,2,punji-04-Diwali2014.doc,
नीमा टकबाल,nīmā ṭkbāl,nima tkbal,2,Final_66-347.doc,
नीमा टकवाल,nīmā ṭkvāl,nima tkval,2,punji-03-Diwali2014.doc,
नीरा सकुरी गंगोली,nīrā skurī gṃgolī,nira skuri gmgoli,2,punji-07-Diwali2014.doc,Kapila
नीर्तनाथौ दिगउन जजिवाल,nīrtnāthau digun jjivāl,nirtnathau digun jjival,2,punji-05-Diwali2014.doc,
नीलकंठ गोवर्द्धनो सोदरपुर,nīlkṃṭh govrddhno sodrpur,nilkmth govrddhno sodrpur,2,Vol-3Final03-d(1).doc,
नीलकंठ दौ,nīlkṃṭh dau,nilkmth dau,2,Final_348-690.doc,
नीलकंठ दौ पवौली,nīlkṃṭh dau pvaulī,nilkmth dau pvauli,2,Final_1-65.doc,Vatsa
नीलकंठ भवानन्दा एकहरा,nīlkṃṭh bhvānndā ekhrā,nilkmth bhvannda ekhra,2,Final_348-690.doc,
नीलकंठ भवानीदत्ता पण्डुआ,nīlkṃṭh bhvānīdttā pṇḍuā,nilkmth bhvanidtta pndua,2,Final_348-690.doc,
नीलकंठ भवानीदत्ताः पण्डुआ,nīlkṃṭh bhvānīdttāḥ pṇḍuā,nilkmth bhvanidttah pndua,2,punji-04-Diwali2014.doc,Vatsa
नीलकंठ हरिअम,nīlkṃṭh hriam,nilkmth hriam,2,Final_348-690.doc,
नीलमणि दौ खौआल,nīlmṇi dau khauāl,nilmni dau khaual,2,punji-04-Diwali2014.doc,Vatsa
नीलमणि मनमील खण्डवला,nīlmṇi mnmīl khṇḍvlā,nilmni mnmil khndvla,2,punji-07-Diwali2014.doc,Kapila
नीलमणि सुन्दर सोदरपुर,nīlmṇi sundr sodrpur,nilmni sundr sodrpur,2,punji-02-Diwali2014.doc,
नीलांगद पनिचौभ,nīlāṃgd pnicaubh,nilamgd pnicaubh,2,Vol-3Final03-d(1).doc,
नीलामवर दौ पबौलि,nīlāmvr dau pbauli,nilamvr dau pbauli,2,Vol-3Final03-a(1).doc,
नीलाम्बर दौ पवौली,nīlāmbr dau pvaulī,nilambr dau pvauli,2,punji-07-Diwali2014.doc,Kapila
नीलाम्बर दौ पाली,nīlāmbr dau pālī,nilambr dau pali,2,punji-03-Diwali2014.doc,
नीलाम्बरः बुधवाल,nīlāmbrḥ budhvāl,nilambrh budhval,2,punji-02-Diwali2014.doc,
नु मानीको खौआल,nu mānīko khauāl,nu maniko khaual,2,Vol-3Final03-b(1).doc,
नुंगनाथौ हर्षोली माण्डर,nuṃgnāthau hrṣolī māṇḍr,numgnathau hrsoli mandr,2,punji-05-Diwali2014.doc,
नुनाई यदूको अलय,nunāī ydūko aly,nunai yduko aly,2,Vol-3Final03-d(1).doc,
नुनुको पाली,nunuko pālī,nunuko pali,2,Vol-3Final03-a(1).doc,
नुलाल पनिचोभ,nulāl pnicobh,nulal pnicobh,2,Vol-3Final03-a(1).doc,
नू लालो वलियास,nū lālo vliyās,nu lalo vliyas,2,Vol-3Final03-e(1).doc,
नूका जजिवाल,nūkā jjivāl,nuka jjival,2,Vol-3Final03-c(1).doc,
नूतन सिंहौलि माण्डर,nūtn siṃhauli māṇḍr,nutn simhauli mandr,2,punji-02-Diwali2014.doc,
नूनमी डीहा माण्डर,nūnmī ḍīhā māṇḍr,nunmi diha mandr,2,punji-04-Diwali2014.doc,Vatsa
नूना रजौरा माण्डर,nūnā rjaurā māṇḍr,nuna rjaura mandr,2,punji-03-Diwali2014.doc,
नूनू जमूआवासी कुसमाल,nūnū jmūāvāsī kusmāl,nunu jmuavasi kusmal,2,punji-04-Diwali2014.doc,Vatsa
नूनू दाय सरिसव,nūnū dāy srisv,nunu day srisv,2,punji-02-Diwali2014.doc,
नूनू दौ खौआल,nūnū dau khauāl,nunu dau khaual,2,punji-04-Diwali2014.doc,
नूनू बछौनी पवौली,nūnū bchaunī pvaulī,nunu bchauni pvauli,2,punji-04-Diwali2014.doc,Vatsa
नूनू बडगाम दरिहरा,nūnū bḍgām drihrā,nunu bdgam drihra,2,punji-07-Diwali2014.doc,Kapila
नूनूआ अलय,nūnūā aly,nunua aly,2,punji-04-Diwali2014.doc,
नूनूकः ब्रह्मपुर बहेराढी,nūnūkḥ brhmpur bherāḍhī,nunukh brhmpur bheradhi,2,punji-02-Diwali2014.doc,
नूनूकः समोलि पाली,nūnūkḥ smoli pālī,nunukh smoli pali,2,punji-02-Diwali2014.doc,
नूनूजी भौर खण्डवला,nūnūjī bhaur khṇḍvlā,nunuji bhaur khndvla,2,punji-05-Diwali2014.doc,
नूनूदाय ओगही बलियास,nūnūdāy oghī bliyās,nunuday oghi bliyas,2,punji-04-Diwali2014.doc,
